日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2015/4/23,臺指選擇權,CALL,自營商,433676,1391657,448091,1441798,-14415,-50141,92669,581751,137980,1229085,-45311,-647334
2015/4/23,臺指選擇權,CALL,投信,150,525,0,0,150,525,200,670,450,3998,-250,-3328
2015/4/23,臺指選擇權,CALL,外資及陸資,100570,376757,83182,412593,17388,-35836,266299,1965293,40201,467033,226098,1498260
2015/4/23,臺指選擇權,PUT,自營商,372591,669228,371050,709332,1541,-40104,162231,230243,147288,344877,14943,-114634
2015/4/23,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,137,0,0,329,137
2015/4/23,臺指選擇權,PUT,外資及陸資,49544,170576,41873,131094,7671,39481,223572,479662,52350,141697,171222,337965
2015/4/24,臺指選擇權,CALL,自營商,325271,1279767,350855,1503690,-25584,-223923,107120,810880,177841,1750886,-70721,-940006
2015/4/24,臺指選擇權,CALL,投信,112,441,62,391,50,51,250,1058,450,5580,-200,-4522
2015/4/24,臺指選擇權,CALL,外資及陸資,95337,438931,97527,634120,-2190,-195189,272074,2505211,48008,639119,224066,1866092
2015/4/24,臺指選擇權,PUT,自營商,301576,757902,319688,748253,-18112,9649,177696,333018,181010,412869,-3314,-79851
2015/4/24,臺指選擇權,PUT,投信,10,35,0,0,10,35,339,132,0,0,339,132
2015/4/24,臺指選擇權,PUT,外資及陸資,54803,201437,55272,212335,-469,-10898,228547,517292,57879,186967,170668,330325
2015/4/27,臺指選擇權,CALL,自營商,246397,874798,257280,964827,-10883,-90029,113129,1049165,194865,2282935,-81736,-1233770
2015/4/27,臺指選擇權,CALL,投信,0,0,100,511,-100,-511,200,1220,500,7578,-300,-6358
2015/4/27,臺指選擇權,CALL,外資及陸資,79086,327411,77815,428552,1271,-101140,280417,3167911,55102,854014,225315,2313897
2015/4/27,臺指選擇權,PUT,自營商,208692,461272,233567,444422,-24875,16850,198332,350360,226588,400827,-28256,-50467
2015/4/27,臺指選擇權,PUT,投信,0,0,0,0,0,0,339,66,0,0,339,66
2015/4/27,臺指選擇權,PUT,外資及陸資,38816,151790,40239,174169,-1423,-22379,234440,503140,65214,222441,169226,280699
2015/4/28,臺指選擇權,CALL,自營商,168766,396228,175982,429640,-7216,-33412,120301,909078,209576,2074438,-89275,-1165360
2015/4/28,臺指選擇權,CALL,投信,50,102,50,90,0,12,250,1046,550,6870,-300,-5824
2015/4/28,臺指選擇權,CALL,外資及陸資,30160,123126,33858,169856,-3698,-46731,283621,2848973,62034,819507,221587,2029466
