日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2015/4/28,臺指選擇權,PUT,自營商,189163,301373,207874,288545,-18711,12828,202236,396320,249282,436277,-47046,-39957
2015/4/28,臺指選擇權,PUT,投信,10,21,0,0,10,21,349,74,0,0,349,74
2015/4/28,臺指選擇權,PUT,外資及陸資,29467,70287,21727,71222,7740,-935,245631,502927,68668,233175,176963,269752
2015/4/29,臺指選擇權,CALL,自營商,325055,643426,338912,630862,-13857,12564,78119,506807,149068,1373254,-70949,-866447
2015/4/29,臺指選擇權,CALL,投信,50,128,300,660,-250,-532,250,640,600,3249,-350,-2609
2015/4/29,臺指選擇權,CALL,外資及陸資,38165,121689,36895,132282,1270,-10593,279025,2196627,63276,644459,215749,1552168
2015/4/29,臺指選擇權,PUT,自營商,361479,701086,359871,607264,1608,93821,137142,425480,163928,417443,-26786,8037
2015/4/29,臺指選擇權,PUT,投信,300,774,0,0,300,774,349,877,0,0,349,877
2015/4/29,臺指選擇權,PUT,外資及陸資,38308,111230,34482,114187,3826,-2957,248117,545878,66836,265483,181281,280395
2015/4/30,臺指選擇權,CALL,自營商,177974,395768,179979,413933,-2005,-18165,93704,477084,166865,1297099,-73161,-820015
2015/4/30,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,538,600,2740,-350,-2202
2015/4/30,臺指選擇權,CALL,外資及陸資,23740,93174,30433,116925,-6693,-23751,276858,2018909,67763,604533,209095,1414376
2015/4/30,臺指選擇權,PUT,自營商,173690,373924,164246,363113,9444,10811,158017,489900,175525,467120,-17508,22780
2015/4/30,臺指選擇權,PUT,投信,29,377,29,44,0,334,349,1285,0,0,349,1285
2015/4/30,臺指選擇權,PUT,外資及陸資,28371,101396,24458,94757,3913,6639,255077,584538,69861,290024,185216,294514
2015/5/4,臺指選擇權,CALL,自營商,187813,342733,193365,391784,-5552,-49051,99784,459802,178548,1302624,-78764,-842822
2015/5/4,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,460,600,2494,-350,-2034
2015/5/4,臺指選擇權,CALL,外資及陸資,22220,74327,21316,77037,904,-2710,279642,1967038,69707,598765,209935,1368273
2015/5/4,臺指選擇權,PUT,自營商,199455,350163,182339,328406,17116,21757,185790,462635,186220,433391,-430,29244
2015/5/4,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,975,0,0,349,975
2015/5/4,臺指選擇權,PUT,外資及陸資,26479,73305,18372,67509,8107,5796,265108,529044,71771,268485,193337,260559
2015/5/5,臺指選擇權,CALL,自營商,183286,284469,184414,290860,-1128,-6391,99987,397229,180000,1155304,-80013,-758075
2015/5/5,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,305,600,1932,-350,-1627
2015/5/5,臺指選擇權,CALL,外資及陸資,29253,78867,28302,78511,951,356,280774,1738797,69850,527836,210924,1210961
2015/5/5,臺指選擇權,PUT,自營商,177742,317173,177029,318276,713,-1104,192496,500055,192261,472040,235,28015
2015/5/5,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,1147,0,0,349,1147
2015/5/5,臺指選擇權,PUT,外資及陸資,25486,87253,23571,80631,1915,6622,267445,562031,72205,287493,195240,274538
2015/5/6,臺指選擇權,CALL,自營商,257425,386470,272721,383345,-15296,3125,72793,386566,159266,1126057,-86473,-739491
2015/5/6,臺指選擇權,CALL,投信,0,0,300,568,-300,-568,250,265,600,2437,-350,-2172
2015/5/6,臺指選擇權,CALL,外資及陸資,27420,77173,23691,72154,3729,5018,277830,1706774,67593,517674,210237,1189100
2015/5/6,臺指選擇權,PUT,自營商,242585,387035,256626,407456,-14041,-20422,146276,467941,179314,436877,-33038,31064
2015/5/6,臺指選擇權,PUT,投信,300,738,0,0,300,738,349,1148,0,0,349,1148
2015/5/6,臺指選擇權,PUT,外資及陸資,27886,92764,23444,80976,4442,11789,268457,554286,69551,276470,198906,277816
2015/5/7,臺指選擇權,CALL,自營商,170630,311973,171479,320431,-849,-8458,82090,303604,169501,920892,-87411,-617288
2015/5/7,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,104,600,1317,-350,-1213
2015/5/7,臺指選擇權,CALL,外資及陸資,32147,93160,30089,87234,2058,5927,286308,1366044,74028,416914,212280,949130
2015/5/7,臺指選擇權,PUT,自營商,166246,345202,158844,372968,7402,-27766,156671,623406,182369,579421,-25698,43985
2015/5/7,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,2022,0,0,349,2022
2015/5/7,臺指選擇權,PUT,外資及陸資,33854,120969,23317,101708,10537,19261,281008,734568,71499,363387,209509,371181
2015/5/8,臺指選擇權,CALL,自營商,155589,223029,146624,223953,8965,-924,100049,278154,178900,846399,-78851,-568245
2015/5/8,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,60,600,949,-350,-889
2015/5/8,臺指選擇權,CALL,外資及陸資,22241,56066,23818,70316,-1577,-14251,291900,1249253,81219,389944,210681,859309
2015/5/8,臺指選擇權,PUT,自營商,147549,224660,142161,245833,5388,-21173,162913,662571,183287,633578,-20374,28993
2015/5/8,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,2287,0,0,349,2287
2015/5/8,臺指選擇權,PUT,外資及陸資,17996,53837,22241,62854,-4245,-9017,281093,774210,75766,396231,205327,377979
2015/5/11,臺指選擇權,CALL,自營商,247212,415857,264286,430892,-17074,-15035,93825,267849,189726,832973,-95901,-565124
2015/5/11,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,56,600,882,-350,-826
2015/5/11,臺指選擇權,CALL,外資及陸資,27499,85454,31990,97365,-4491,-11911,293263,1229488,87068,394530,206195,834958
2015/5/11,臺指選擇權,PUT,自營商,250984,479998,239214,463624,11770,16373,178000,647010,186368,600385,-8368,46625
2015/5/11,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,2201,0,0,349,2201
2015/5/11,臺指選擇權,PUT,外資及陸資,35261,128974,30904,114066,4357,14908,287871,754222,78143,385562,209728,368660
2015/5/12,臺指選擇權,CALL,自營商,190219,309397,205128,320853,-14909,-11456,98577,284511,209506,845295,-110929,-560784
2015/5/12,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,47,600,755,-350,-708
2015/5/12,臺指選擇權,CALL,外資及陸資,17826,49877,23401,52179,-5575,-2302,290737,1183110,90130,378462,200607,804648
2015/5/12,臺指選擇權,PUT,自營商,203266,326138,209001,341274,-5735,-15136,176068,664061,189810,625294,-13742,38767
2015/5/12,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,2341,0,0,349,2341
2015/5/12,臺指選擇權,PUT,外資及陸資,30352,70458,23874,76182,6478,-5724,296474,795334,80324,412463,216150,382871
2015/5/13,臺指選擇權,CALL,自營商,261913,464042,259033,434350,2880,29692,81079,295932,181183,863535,-100104,-567603
2015/5/13,臺指選擇權,CALL,投信,0,0,300,554,-300,-554,250,27,600,1355,-350,-1328
2015/5/13,臺指選擇權,CALL,外資及陸資,32839,93151,27578,89323,5261,3828,286274,1226229,88352,399018,197922,827211
2015/5/13,臺指選擇權,PUT,自營商,229312,333310,249798,360674,-20486,-27364,126656,548941,180075,529401,-53419,19540
2015/5/13,臺指選擇權,PUT,投信,300,635,0,0,300,635,349,1157,0,0,349,1157
2015/5/13,臺指選擇權,PUT,外資及陸資,26692,62704,23145,68273,3547,-5570,295458,697861,80926,369153,214532,328708
2015/5/14,臺指選擇權,CALL,自營商,249746,386446,277955,437389,-28209,-50943,80923,201064,209269,683051,-128346,-481987
2015/5/14,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,10,600,317,-350,-307
2015/5/14,臺指選擇權,CALL,外資及陸資,28588,95130,25720,81384,2868,13746,293156,927226,92350,279042,200806,648184
2015/5/14,臺指選擇權,PUT,自營商,274538,511301,236724,494256,37814,17045,146159,852193,161874,735797,-15715,116396
2015/5/14,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,2484,0,0,349,2484
2015/5/14,臺指選擇權,PUT,外資及陸資,34792,152341,26741,138402,8051,13939,306323,1089242,83718,588090,222605,501152
2015/5/15,臺指選擇權,CALL,自營商,237429,338130,240438,353723,-3009,-15594,90363,196587,221740,659063,-131377,-462476
2015/5/15,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,7,600,142,-350,-135
2015/5/15,臺指選擇權,CALL,外資及陸資,35835,103230,35384,78846,451,24385,297632,908997,96370,262163,201262,646834
2015/5/15,臺指選擇權,PUT,自營商,229353,472135,221571,545215,7782,-73081,149667,862036,157770,807363,-8103,54673
2015/5/15,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,2840,0,0,349,2840
2015/5/15,臺指選擇權,PUT,外資及陸資,31750,151764,31934,129547,-184,22217,305545,1181850,83047,623961,222498,557889
2015/5/18,臺指選擇權,CALL,自營商,153908,200640,166279,217532,-12371,-16892,92453,205267,236202,696618,-143749,-491351
2015/5/18,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,5,600,104,-350,-99
2015/5/18,臺指選擇權,CALL,外資及陸資,45251,68811,49218,66370,-3967,2442,316234,949105,118948,277955,197286,671150
2015/5/18,臺指選擇權,PUT,自營商,124969,230902,121530,253337,3439,-22435,153280,779793,157966,763206,-4686,16587
2015/5/18,臺指選擇權,PUT,投信,0,0,0,0,0,0,349,2353,0,0,349,2353
2015/5/18,臺指選擇權,PUT,外資及陸資,17928,82403,19879,80165,-1951,2237,304240,1064306,83674,575741,220566,488565
2015/5/19,臺指選擇權,CALL,自營商,327211,622757,316958,579155,10253,43602,100140,315738,233636,856992,-133496,-541254
2015/5/19,臺指選擇權,CALL,投信,0,0,0,0,0,0,250,4,600,331,-350,-327
2015/5/19,臺指選擇權,CALL,外資及陸資,39532,117106,42024,123263,-2492,-6157,324167,1211146,129349,401422,194818,809724
2015/5/19,臺指選擇權,PUT,自營商,254094,373182,282650,396822,-28556,-23640,141860,575857,175119,600081,-33259,-24224
2015/5/19,臺指選擇權,PUT,投信,0,0,20,85,-20,-85,329,877,0,0,329,877
2015/5/19,臺指選擇權,PUT,外資及陸資,24858,93963,24998,65653,-140,28310,309931,840373,89526,443698,220405,396675
2015/5/20,臺指選擇權,CALL,自營商,224730,330545,249718,414563,-24988,-84018,47799,175944,110621,727017,-62822,-551073
2015/5/20,臺指選擇權,CALL,投信,0,0,498,1436,-498,-1436,0,0,498,1481,-498,-1481
2015/5/20,臺指選擇權,CALL,外資及陸資,27289,72837,23906,69812,3383,3025,216660,1082821,92906,329076,123754,753745
2015/5/20,臺指選擇權,PUT,自營商,229133,308211,231156,282617,-2023,25594,81586,330796,70869,347669,10717,-16873
2015/5/20,臺指選擇權,PUT,投信,300,772,0,0,300,772,329,1257,0,0,329,1257
2015/5/20,臺指選擇權,PUT,外資及陸資,33216,65478,19442,54169,13774,11310,179357,757252,59706,371303,119651,385949
2015/5/21,臺指選擇權,CALL,自營商,188806,377505,189218,404058,-412,-26553,72378,167055,135588,621422,-63210,-454367
2015/5/21,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,498,567,-498,-567
2015/5/21,臺指選擇權,CALL,外資及陸資,40141,126664,37354,125103,2787,1560,224358,836038,97797,248591,126561,587447
2015/5/21,臺指選擇權,PUT,自營商,179878,505517,165323,520833,14555,-15316,107555,512620,82293,494821,25262,17799
2015/5/21,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,2489,0,0,329,2489
2015/5/21,臺指選擇權,PUT,外資及陸資,44330,202237,41016,191265,3314,10971,185767,1039092,62812,514432,122955,524660
2015/5/22,臺指選擇權,CALL,自營商,177466,343308,155473,334551,21993,8757,96459,208729,137642,704020,-41183,-495291
2015/5/22,臺指選擇權,CALL,投信,100,203,200,306,-100,-104,100,198,698,1003,-598,-805
2015/5/22,臺指選擇權,CALL,外資及陸資,36578,131041,25548,95034,11030,36007,230862,923398,93265,263194,137597,660204
2015/5/22,臺指選擇權,PUT,自營商,171935,286605,162529,317895,9406,-31290,121966,379032,87263,424448,34703,-45416
2015/5/22,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,1248,0,0,329,1248
2015/5/22,臺指選擇權,PUT,外資及陸資,27706,93720,22383,78435,5323,15284,193028,853175,64729,418195,128299,434980
2015/5/25,臺指選擇權,CALL,自營商,154621,293509,164307,281486,-9686,12023,97632,222430,148685,703471,-51053,-481041
2015/5/25,臺指選擇權,CALL,投信,0,0,0,0,0,0,100,185,698,909,-598,-724
2015/5/25,臺指選擇權,CALL,外資及陸資,20985,58875,21749,60398,-764,-1523,234322,912829,97547,263861,136775,648968
2015/5/25,臺指選擇權,PUT,自營商,143616,253944,140161,234184,3455,19759,129637,372876,91555,408251,38082,-35375
2015/5/25,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,1083,0,0,329,1083
2015/5/25,臺指選擇權,PUT,外資及陸資,22518,47991,17185,52337,5333,-4346,200518,816350,66842,407424,133676,408926
2015/5/26,臺指選擇權,CALL,自營商,221589,395254,211970,402251,9619,-6997,112360,252271,153794,763972,-41434,-511701
2015/5/26,臺指選擇權,CALL,投信,0,0,0,0,0,0,100,216,698,979,-598,-763
2015/5/26,臺指選擇權,CALL,外資及陸資,34759,111734,34495,108983,264,2751,236426,964111,99387,284582,137039,679529
2015/5/26,臺指選擇權,PUT,自營商,208050,327895,215411,326218,-7361,1677,136305,357135,105584,406976,30721,-49841
2015/5/26,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,804,0,0,329,804
2015/5/26,臺指選擇權,PUT,外資及陸資,29044,81324,29029,77959,15,3365,204383,774081,70692,388169,133691,385912
2015/5/27,臺指選擇權,CALL,自營商,222253,398129,216270,409204,5983,-11075,71110,235649,132807,707686,-61697,-472037
2015/5/27,臺指選擇權,CALL,投信,0,0,300,511,-300,-511,100,216,700,1370,-600,-1154
2015/5/27,臺指選擇權,CALL,外資及陸資,28965,88742,26542,85714,2423,3028,229211,953290,98811,287145,130400,666145
2015/5/27,臺指選擇權,PUT,自營商,199006,301453,231951,317688,-32945,-16235,99443,362891,101167,424745,-1724,-61854
2015/5/27,臺指選擇權,PUT,投信,300,819,0,0,300,819,329,1386,0,0,329,1386
2015/5/27,臺指選擇權,PUT,外資及陸資,28920,70952,24186,75541,4734,-4589,203438,783364,68393,391363,135045,392001
2015/5/28,臺指選擇權,CALL,自營商,136403,307401,136399,330487,4,-23086,81817,286638,143473,822100,-61656,-535462
2015/5/28,臺指選擇權,CALL,投信,0,0,30,117,-30,-117,70,163,700,1928,-630,-1765
2015/5/28,臺指選擇權,CALL,外資及陸資,24760,84910,25120,90010,-360,-5099,230252,1062736,100194,331449,130058,731287
2015/5/28,臺指選擇權,PUT,自營商,143348,252138,121681,249007,21667,3131,131030,326345,111092,390008,19938,-63663
2015/5/28,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,786,0,0,329,786
2015/5/28,臺指選擇權,PUT,外資及陸資,22697,62943,20897,63091,1800,-149,208967,669551,72114,333867,136853,335684
2015/5/29,臺指選擇權,CALL,自營商,164632,310874,160777,346995,3855,-36121,106245,275689,164107,828032,-57862,-552343
2015/5/29,臺指選擇權,CALL,投信,0,0,0,0,0,0,70,145,700,1610,-630,-1465
2015/5/29,臺指選擇權,CALL,外資及陸資,21303,85711,19066,65976,2237,19735,235941,1048764,103663,323710,132278,725054
2015/5/29,臺指選擇權,PUT,自營商,156232,298770,140316,283820,15916,14950,154285,390956,117972,437479,36313,-46523
2015/5/29,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,824,0,0,329,824
2015/5/29,臺指選擇權,PUT,外資及陸資,24231,74633,15414,52919,8817,21713,219861,734756,74163,360646,145698,374110
2015/6/1,臺指選擇權,CALL,自營商,178129,342345,211109,387018,-32980,-44673,106590,222992,197433,731500,-90843,-508508
2015/6/1,臺指選擇權,CALL,投信,30,50,0,0,30,50,100,125,700,879,-600,-754
2015/6/1,臺指選擇權,CALL,外資及陸資,30353,90043,32803,104734,-2450,-14691,240809,903070,110970,283178,129839,619892
2015/6/1,臺指選擇權,PUT,自營商,189162,429640,170266,381750,18896,47890,176592,539640,121495,538331,55097,1309
2015/6/1,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,1265,0,0,329,1265
2015/6/1,臺指選擇權,PUT,外資及陸資,38842,131146,34025,126396,4817,4750,226172,854434,75718,429568,150454,424866
2015/6/2,臺指選擇權,CALL,自營商,170352,281190,165659,252735,4693,28455,111837,217131,197859,651614,-86022,-434483
2015/6/2,臺指選擇權,CALL,投信,0,0,0,0,0,0,100,83,700,587,-600,-504
2015/6/2,臺指選擇權,CALL,外資及陸資,27748,72215,25063,78315,2685,-6101,245420,835410,112898,263501,132522,571909
2015/6/2,臺指選擇權,PUT,自營商,145294,289558,157438,299627,-12144,-10068,170868,555331,127746,564645,43122,-9314
2015/6/2,臺指選擇權,PUT,投信,0,0,0,0,0,0,329,1277,0,0,329,1277
2015/6/2,臺指選擇權,PUT,外資及陸資,23694,72853,25188,80114,-1494,-7261,224491,885654,75572,451463,148919,434191
2015/6/3,臺指選擇權,CALL,自營商,202953,276699,237314,331664,-34361,-54965,72289,170036,176187,586892,-103898,-416856
2015/6/3,臺指選擇權,CALL,投信,1,2,301,679,-300,-677,100,44,700,1030,-600,-986
2015/6/3,臺指選擇權,CALL,外資及陸資,29592,76628,28406,83190,1186,-6563,242267,730869,112257,218858,130010,512011
2015/6/3,臺指選擇權,PUT,自營商,185562,333308,176842,316012,8720,17296,122291,554404,108618,525064,13673,29340
2015/6/3,臺指選擇權,PUT,投信,300,602,0,0,300,602,329,1279,0,0,329,1279
2015/6/3,臺指選擇權,PUT,外資及陸資,28018,84461,24144,83444,3874,1017,215891,967782,72812,499653,143079,468129
2015/6/4,臺指選擇權,CALL,自營商,297983,456876,331217,502797,-33234,-45921,91867,133034,229044,444777,-137177,-311743
2015/6/4,臺指選擇權,CALL,投信,0,0,0,0,0,0,100,10,700,173,-600,-163
2015/6/4,臺指選擇權,CALL,外資及陸資,43535,119816,45931,132737,-2396,-12920,247786,489247,120148,135506,127638,353741
2015/6/4,臺指選擇權,PUT,自營商,306164,830141,309833,918011,-3669,-87870,133259,1062326,123799,976118,9460,86208
2015/6/4,臺指選擇權,PUT,投信,100,193,129,1154,-29,-962,400,3420,100,465,300,2955
2015/6/4,臺指選擇權,PUT,外資及陸資,75049,313886,66557,329835,8492,-15949,225319,1707519,73682,884432,151637,823087
2015/6/5,臺指選擇權,CALL,自營商,236354,392417,240296,408555,-3942,-16138,106704,148736,248018,457161,-141314,-308425
2015/6/5,臺指選擇權,CALL,投信,0,0,0,0,0,0,100,8,700,106,-600,-98
2015/6/5,臺指選擇權,CALL,外資及陸資,56895,149236,50688,119152,6207,30084,256240,518672,122421,151113,133819,367559
2015/6/5,臺指選擇權,PUT,自營商,233021,595423,237349,656238,-4328,-60815,145121,993280,140330,967629,4791,25651
2015/6/5,臺指選擇權,PUT,投信,0,0,0,0,0,0,400,3355,100,435,300,2920
2015/6/5,臺指選擇權,PUT,外資及陸資,46602,185985,39597,172127,7005,13859,233452,1682676,74788,871685,158664,810991
2015/6/8,臺指選擇權,CALL,自營商,235928,420672,240561,400561,-4633,20110,116092,198470,262460,493834,-146368,-295364
2015/6/8,臺指選擇權,CALL,投信,0,0,0,0,0,0,100,5,700,78,-600,-73
2015/6/8,臺指選擇權,CALL,外資及陸資,43491,140500,38622,125848,4869,14652,262494,541053,123886,161000,138608,380053
2015/6/8,臺指選擇權,PUT,自營商,239174,480043,233843,458641,5331,21401,158158,855237,147600,831920,10558,23317
2015/6/8,臺指選擇權,PUT,投信,0,0,0,0,0,0,400,2555,100,315,300,2240
2015/6/8,臺指選擇權,PUT,外資及陸資,41707,151032,38017,145398,3690,5634,238581,1493513,76182,788194,162399,705319
2015/6/9,臺指選擇權,CALL,自營商,270587,358155,293627,342408,-23040,15747,124870,153280,294335,390992,-169465,-237712
2015/6/9,臺指選擇權,CALL,投信,1000,665,0,0,1000,665,1100,344,700,57,400,287
2015/6/9,臺指選擇權,CALL,外資及陸資,39825,97085,45201,112530,-5376,-15445,262112,459371,128845,145880,133267,313491
2015/6/9,臺指選擇權,PUT,自營商,294706,521635,312335,625480,-17629,-103844,155921,1156901,163021,1156250,-7100,651
2015/6/9,臺指選擇權,PUT,投信,0,0,20,101,-20,-101,400,4870,120,624,280,4246
2015/6/9,臺指選擇權,PUT,外資及陸資,50088,174674,54321,215663,-4233,-40989,236227,1932276,78108,1017682,158119,914594
2015/6/10,臺指選擇權,CALL,自營商,265687,385034,262987,399121,2700,-14087,87889,160767,222203,411304,-134314,-250537
2015/6/10,臺指選擇權,CALL,投信,400,581,200,217,200,364,1300,863,400,243,900,620
2015/6/10,臺指選擇權,CALL,外資及陸資,46505,142346,39416,130323,7089,12024,265486,530559,128957,188104,136529,342455
2015/6/10,臺指選擇權,PUT,自營商,238399,319025,259298,361874,-20899,-42848,115608,860163,140355,906853,-24747,-46690
2015/6/10,臺指選擇權,PUT,投信,10,39,0,0,10,39,100,675,110,479,-10,196
2015/6/10,臺指選擇權,PUT,外資及陸資,41601,120684,31441,103251,10160,17433,241900,1704615,77198,902543,164702,802072
2015/6/11,臺指選擇權,CALL,自營商,180155,253300,181344,304349,-1189,-51049,102720,148070,238333,440320,-135613,-292250
2015/6/11,臺指選擇權,CALL,投信,0,0,0,0,0,0,1300,627,400,189,900,438
2015/6/11,臺指選擇權,CALL,外資及陸資,25648,71570,24407,77666,1241,-6096,271026,530417,133187,195387,137839,335030
2015/6/11,臺指選擇權,PUT,自營商,170589,288357,148974,292328,21615,-3971,131855,843913,135116,897727,-3261,-53814
2015/6/11,臺指選擇權,PUT,投信,0,0,0,0,0,0,100,645,110,457,-10,188
2015/6/11,臺指選擇權,PUT,外資及陸資,33231,104347,24248,93945,8983,10401,249815,1683861,76141,892262,173674,791599
2015/6/12,臺指選擇權,CALL,自營商,150315,215433,145263,223259,5052,-7826,113876,140691,244462,427815,-130586,-287124
2015/6/12,臺指選擇權,CALL,投信,0,0,0,0,0,0,1300,382,400,109,900,273
2015/6/12,臺指選擇權,CALL,外資及陸資,24069,59172,24535,65879,-466,-6707,274522,501557,137144,189554,137378,312003
2015/6/12,臺指選擇權,PUT,自營商,140135,227491,135308,245552,4827,-18062,145998,863593,144502,937780,1496,-74187
2015/6/12,臺指選擇權,PUT,投信,0,0,0,0,0,0,100,700,110,473,-10,227
2015/6/12,臺指選擇權,PUT,外資及陸資,24378,87626,26571,95142,-2193,-7516,248786,1721741,77287,915643,171499,806098
2015/6/15,臺指選擇權,CALL,自營商,142527,191067,143412,195485,-885,-4418,116113,125837,247788,397687,-131675,-271850
2015/6/15,臺指選擇權,CALL,投信,0,0,0,0,0,0,1300,216,400,49,900,167
2015/6/15,臺指選擇權,CALL,外資及陸資,25891,64325,24690,63532,1201,793,277720,478342,139212,176854,138508,301488
2015/6/15,臺指選擇權,PUT,自營商,141140,248552,144526,264176,-3386,-15624,148353,895504,150188,986430,-1835,-90926
2015/6/15,臺指選擇權,PUT,投信,0,0,0,0,0,0,100,785,110,545,-10,240
2015/6/15,臺指選擇權,PUT,外資及陸資,29785,87086,26703,86202,3082,884,252099,1819201,77422,965066,174677,854135
2015/6/16,臺指選擇權,CALL,自營商,161316,194562,182036,220191,-20720,-25629,111832,125316,264285,391888,-152453,-266572
2015/6/16,臺指選擇權,CALL,投信,0,0,0,0,0,0,1300,68,400,30,900,38
2015/6/16,臺指選擇權,CALL,外資及陸資,21939,51799,24610,55018,-2671,-3219,279576,441400,143736,157040,135840,284360
2015/6/16,臺指選擇權,PUT,自營商,189438,392408,188840,425003,598,-32595,154000,991437,155187,1111618,-1187,-120181
2015/6/16,臺指選擇權,PUT,投信,100,300,0,0,100,300,200,1200,110,660,90,540
2015/6/16,臺指選擇權,PUT,外資及陸資,39639,136831,32493,122617,7146,14214,256676,1988315,74846,1043222,181830,945093
2015/6/17,臺指選擇權,CALL,自營商,168564,218453,183308,274229,-14744,-55776,43540,111361,97458,234645,-53918,-123284
2015/6/17,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,200,22,-200,-22
2015/6/17,臺指選擇權,CALL,外資及陸資,26770,68533,27390,76389,-620,-7856,120486,239200,64876,150304,55610,88896
2015/6/17,臺指選擇權,PUT,自營商,169030,315517,177863,338370,-8833,-22853,67314,526357,49864,486972,17450,39385
2015/6/17,臺指選擇權,PUT,投信,110,649,50,170,60,479,100,255,50,163,50,92
2015/6/17,臺指選擇權,PUT,外資及陸資,23325,78158,23613,89090,-288,-10932,88216,1036926,33620,488480,54596,548446
2015/6/18,臺指選擇權,CALL,自營商,124448,207495,114193,211744,10255,-4249,67668,135569,111372,241865,-43704,-106296
2015/6/18,臺指選擇權,CALL,投信,200,13,0,0,200,13,0,0,0,0,0,0
