日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2015/5/14,小型臺指期貨,外資及陸資,19883,9599626,22050,10639878,-2167,-1040251,1750,838949,12511,5957457,-10761,-5118508
2015/5/15,小型臺指期貨,自營商,13597,6514112,12673,6073262,924,440850,15323,7323854,12489,5962902,2834,1360952
2015/5/15,小型臺指期貨,投信,0,0,0,0,0,0,202,96718,0,0,202,96718
2015/5/15,小型臺指期貨,外資及陸資,20264,9719019,20055,9615218,209,103802,1751,836139,12979,6155085,-11228,-5318946
2015/5/18,小型臺指期貨,自營商,9096,4356187,8630,4132281,466,223906,14872,7125247,11572,5538704,3300,1586543
2015/5/18,小型臺指期貨,投信,0,0,0,0,0,0,202,96940,0,0,202,96940
2015/5/18,小型臺指期貨,外資及陸資,13940,6679033,13000,6228337,940,450696,1972,944822,13032,6198342,-11060,-5253520
2015/5/19,小型臺指期貨,自營商,15211,7354102,12634,6112934,2577,1241168,15090,7306291,8489,4105378,6601,3200913
2015/5/19,小型臺指期貨,投信,17,8247,17,8251,0,-3,202,98000,0,0,202,98000
2015/5/19,小型臺指期貨,外資及陸資,17843,8636239,15930,7712034,1913,924205,2197,1063953,12892,6197289,-10695,-5133336
2015/5/20,小型臺指期貨,自營商,12628,6114784,11545,5587779,1083,527006,4171,2003815,2727,1306441,1444,697374
2015/5/20,小型臺指期貨,投信,185,89549,5,2424,180,87125,202,97728,0,0,202,97728
2015/5/20,小型臺指期貨,外資及陸資,12129,5872353,15479,7492503,-3350,-1620151,2047,988757,11709,5608631,-9662,-4619874
2015/5/21,小型臺指期貨,自營商,11142,5318508,13546,6463783,-2404,-1145275,5437,2579964,6197,2937911,-760,-357947
2015/5/21,小型臺指期貨,投信,0,0,0,0,0,0,202,96364,0,0,202,96364
2015/5/21,小型臺指期貨,外資及陸資,19169,9152611,21949,10478034,-2780,-1325423,1834,873768,12416,5860214,-10582,-4986446
2015/5/22,小型臺指期貨,自營商,14293,6855826,9869,4734447,4424,2121379,7939,3804724,4275,2040565,3664,1764159
2015/5/22,小型臺指期貨,投信,0,0,0,0,0,0,202,97233,0,0,202,97233
2015/5/22,小型臺指期貨,外資及陸資,18680,8976039,16088,7730753,2592,1245286,2079,999035,12021,5719262,-9942,-4720227
2015/5/25,小型臺指期貨,自營商,11610,5566595,10733,5145524,877,421071,9046,4339497,4505,2152603,4541,2186894
2015/5/25,小型臺指期貨,投信,0,0,0,0,0,0,202,97273,0,0,202,97273
2015/5/25,小型臺指期貨,外資及陸資,12227,5869629,12516,6007802,-289,-138174,2073,997007,12120,5769645,-10047,-4772638
2015/5/26,小型臺指期貨,自營商,10366,5005748,10975,5300288,-609,-294540,9487,4563386,5583,2680359,3904,1883027
2015/5/26,小型臺指期貨,投信,0,0,0,0,0,0,202,97556,0,0,202,97556
2015/5/26,小型臺指期貨,外資及陸資,19575,9467755,20294,9810568,-719,-342813,1932,931774,12266,5852476,-10334,-4920702
2015/5/27,小型臺指期貨,自營商,9215,4445856,8464,4084112,751,361744,7792,3745366,3346,1600100,4446,2145266
2015/5/27,小型臺指期貨,投信,4,1936,0,0,4,1936,202,97586,0,0,202,97586
2015/5/27,小型臺指期貨,外資及陸資,17332,8371891,16266,7857269,1066,514622,2182,1052580,12123,5782908,-9941,-4730328
2015/5/28,小型臺指期貨,自營商,10823,5252702,8489,4118954,2334,1133748,10695,5182077,3951,1904897,6744,3277180
2015/5/28,小型臺指期貨,投信,0,0,0,0,0,0,202,98263,0,0,202,98263
2015/5/28,小型臺指期貨,外資及陸資,16615,8070042,16247,7890264,368,179778,2124,1031372,12089,5805581,-9965,-4774209
2015/5/29,小型臺指期貨,自營商,6572,3191008,8547,4147440,-1975,-956432,9748,4708091,5019,2416083,4729,2292008
2015/5/29,小型臺指期貨,投信,0,0,0,0,0,0,202,98000,0,0,202,98000
2015/5/29,小型臺指期貨,外資及陸資,15625,7592909,15709,7628624,-84,-35715,2014,975542,12291,5882585,-10277,-4907043
2015/6/1,小型臺指期貨,自營商,10716,5164067,12748,6135689,-2032,-971621,10094,4837774,7541,3606205,2553,1231569
2015/6/1,小型臺指期貨,投信,0,0,0,0,0,0,202,97263,0,0,202,97263
2015/6/1,小型臺指期貨,外資及陸資,18446,8899646,19765,9527002,-1319,-627356,1980,952209,12828,6090468,-10848,-5138259
2015/6/2,小型臺指期貨,自營商,9018,4324341,9670,4635543,-652,-311202,10390,4968193,8509,4061423,1881,906770
2015/6/2,小型臺指期貨,投信,0,0,0,0,0,0,202,97021,0,0,202,97021
2015/6/2,小型臺指期貨,外資及陸資,15708,7544038,15106,7254219,602,289820,2021,969401,12339,5838628,-10318,-4869227
2015/6/3,小型臺指期貨,自營商,9431,4511664,13046,6238671,-3615,-1727007,5088,2408961,6878,3255156,-1790,-846195
2015/6/3,小型臺指期貨,投信,0,0,0,0,0,0,202,96435,0,0,202,96435
2015/6/3,小型臺指期貨,外資及陸資,16498,7906018,18698,8953995,-2200,-1047977,2008,957604,12854,6042072,-10846,-5084468
2015/6/4,小型臺指期貨,自營商,14800,6955635,16731,7873198,-1931,-917563,5945,2747597,9298,4295081,-3353,-1547484
2015/6/4,小型臺指期貨,投信,0,0,0,0,0,0,202,94051,0,0,202,94051
2015/6/4,小型臺指期貨,外資及陸資,30183,14225004,30465,14359079,-282,-134076,2001,930577,12685,5804583,-10684,-4874006
2015/6/5,小型臺指期貨,自營商,10837,5027550,9896,4587965,941,439585,6789,3138048,9261,4274125,-2472,-1136077
2015/6/5,小型臺指期貨,投信,0,0,0,0,0,0,202,94021,0,0,202,94021
2015/6/5,小型臺指期貨,外資及陸資,23594,10970033,22831,10616266,763,353767,2068,961228,12309,5626133,-10241,-4664905
2015/6/8,小型臺指期貨,自營商,14385,6679700,13538,6292306,847,387394,8262,3836857,10063,4671011,-1801,-834154
2015/6/8,小型臺指期貨,投信,0,0,0,0,0,0,202,94415,0,0,202,94415
2015/6/8,小型臺指期貨,外資及陸資,25136,11700360,24668,11481789,468,218571,2263,1056114,12148,5571451,-9885,-4515337
2015/6/9,小型臺指期貨,自營商,13189,6094793,13908,6427363,-719,-332570,9196,4219292,11616,5327457,-2420,-1108165
2015/6/9,小型臺指期貨,投信,0,0,0,0,0,0,202,93274,0,0,202,93274
2015/6/9,小型臺指期貨,外資及陸資,26137,12115218,26294,12179770,-157,-64552,2284,1053427,12054,5450234,-9770,-4396807
2015/6/10,小型臺指期貨,自營商,11681,5407902,10887,5048033,794,359869,7759,3566367,9491,4372041,-1732,-805674
2015/6/10,小型臺指期貨,投信,0,0,0,0,0,0,202,93768,0,0,202,93768
2015/6/10,小型臺指期貨,外資及陸資,20228,9394196,20132,9345425,96,48770,2351,1090318,11969,5436098,-9618,-4345780
2015/6/11,小型臺指期貨,自營商,11080,5126093,10722,4959889,358,166204,7708,3543763,9114,4197117,-1406,-653354
2015/6/11,小型臺指期貨,投信,0,0,0,0,0,0,202,93779,0,0,202,93779
2015/6/11,小型臺指期貨,外資及陸資,22066,10229253,21973,10183013,93,46240,2401,1114011,11958,5428776,-9557,-4314765
2015/6/12,小型臺指期貨,自營商,8024,3705846,8674,4008544,-650,-302698,8393,3852230,10389,4779432,-1996,-927202
2015/6/12,小型臺指期貨,投信,0,0,0,0,0,0,202,93607,0,0,202,93607
2015/6/12,小型臺指期貨,外資及陸資,18644,8640019,18721,8673944,-77,-33925,2417,1119276,12063,5463342,-9646,-4344066
2015/6/15,小型臺指期貨,自營商,10830,4998954,10326,4752294,504,246660,8234,3771664,8430,3852578,-196,-80914
2015/6/15,小型臺指期貨,投信,0,0,0,0,0,0,202,93375,0,0,202,93375
2015/6/15,小型臺指期貨,外資及陸資,18929,8768566,18505,8568877,424,199688,2495,1152432,12025,5423290,-9530,-4270858
2015/6/16,小型臺指期貨,自營商,11193,5114499,11670,5319874,-477,-205374,8832,4028901,10169,4612701,-1337,-583800
2015/6/16,小型臺指期貨,投信,17,7680,17,7805,0,-125,202,92915,0,0,202,92915
2015/6/16,小型臺指期貨,外資及陸資,18099,8310598,18563,8520193,-464,-209595,2366,1087625,12188,5455994,-9822,-4368369
2015/6/17,小型臺指期貨,自營商,11709,5352308,10665,4868028,1044,484280,3231,1444676,7485,3380618,-4254,-1935942
2015/6/17,小型臺指期貨,投信,185,83414,5,2301,180,81113,202,91445,0,0,202,91445
2015/6/17,小型臺指期貨,外資及陸資,14513,6577137,15067,6825817,-554,-248680,461,208873,10872,4854467,-10411,-4645594
2015/6/18,小型臺指期貨,自營商,5913,2673084,6343,2864434,-430,-191349,3686,1650487,7910,3569625,-4224,-1919138
2015/6/18,小型臺指期貨,投信,0,0,0,0,0,0,202,91385,0,0,202,91385
2015/6/18,小型臺指期貨,外資及陸資,15785,7138151,15660,7080894,125,57257,550,248998,10896,4861696,-10346,-4612698
2015/6/22,小型臺指期貨,自營商,9536,4364752,7518,3444909,2018,919843,4432,2012671,6790,3105758,-2358,-1093087
2015/6/22,小型臺指期貨,投信,0,0,0,0,0,0,202,92698,0,0,202,92698
2015/6/22,小型臺指期貨,外資及陸資,16839,7715766,14996,6873613,1843,842153,342,157218,10753,4862200,-10411,-4704982
2015/6/23,小型臺指期貨,自營商,8409,3879589,8155,3759520,254,120069,4587,2094897,6551,3011553,-1964,-916656
2015/6/23,小型臺指期貨,投信,0,0,0,0,0,0,202,93223,0,0,202,93223
2015/6/23,小型臺指期貨,外資及陸資,17251,7965902,17008,7854763,243,111139,190,87798,10718,4873899,-10528,-4786101
2015/6/24,小型臺指期貨,自營商,6402,2947469,5185,2388127,1217,559342,3670,1672725,4454,2047940,-784,-375215
2015/6/24,小型臺指期貨,投信,0,0,0,0,0,0,202,93385,0,0,202,93385
2015/6/24,小型臺指期貨,外資及陸資,13760,6343426,12727,5867656,1033,475770,217,99845,10566,4812844,-10349,-4712999
2015/6/25,小型臺指期貨,自營商,10331,4805932,9425,4389486,906,416446,5746,2656703,6012,2799137,-266,-142434
2015/6/25,小型臺指期貨,投信,0,0,0,0,0,0,202,94354,0,0,202,94354
2015/6/25,小型臺指期貨,外資及陸資,24215,11294190,22708,10592562,1507,701628,358,166843,10380,4779529,-10022,-4612686
2015/6/26,小型臺指期貨,自營商,4289,1993419,3914,1820009,375,173411,6444,2976380,6399,2974535,45,1845
2015/6/26,小型臺指期貨,投信,19,8862,0,0,19,8862,221,103008,0,0,221,103008
2015/6/26,小型臺指期貨,外資及陸資,12752,5941403,12651,5892560,101,48844,435,202200,10404,4779150,-9969,-4576950
2015/6/29,小型臺指期貨,自營商,9238,4224847,11207,5118237,-1969,-893390,6301,2855991,8229,3746430,-1928,-890439
2015/6/29,小型臺指期貨,投信,22,10031,0,0,22,10031,243,111039,0,0,243,111039
2015/6/29,小型臺指期貨,外資及陸資,21714,9947817,22688,10394036,-974,-446219,258,117738,10613,4775518,-10355,-4657780
2015/6/30,小型臺指期貨,自營商,7016,3205385,6217,2845918,799,359467,7116,3253269,7505,3447564,-389,-194295
2015/6/30,小型臺指期貨,投信,5,2299,0,0,5,2299,248,114216,0,0,248,114216
2015/6/30,小型臺指期貨,外資及陸資,16441,7532726,15730,7206256,711,326469,516,237594,10424,4725520,-9908,-4487926
2015/7/1,小型臺指期貨,自營商,8790,4061511,7243,3349904,1547,711607,5307,2438313,3721,1720476,1586,717837
2015/7/1,小型臺指期貨,投信,8,3724,8,3717,0,6,248,115221,0,0,248,115221
2015/7/1,小型臺指期貨,外資及陸資,21438,9933341,20499,9499237,939,434104,685,317422,10442,4773865,-9757,-4456443
2015/7/2,小型臺指期貨,自營商,5113,2369761,5240,2426347,-127,-56586,5698,2617789,4235,1955173,1463,662616
2015/7/2,小型臺指期貨,投信,0,0,4,1858,-4,-1858,248,115035,0,0,248,115035
2015/7/2,小型臺指期貨,外資及陸資,15966,7413747,16518,7670895,-552,-257149,429,198451,10442,4766507,-10013,-4568056
2015/7/3,小型臺指期貨,自營商,9444,4350385,9428,4339810,16,10576,7044,3250524,5721,2648286,1323,602238
2015/7/3,小型臺指期貨,投信,204,94275,172,79392,32,14883,252,117193,0,0,252,117193
2015/7/3,小型臺指期貨,外資及陸資,26527,12244354,26833,12385351,-306,-140997,321,148709,8816,4022198,-8495,-3873489
2015/7/6,小型臺指期貨,自營商,7094,3266259,9141,4199593,-2047,-933334,7398,3380284,8170,3738516,-772,-358232
2015/7/6,小型臺指期貨,投信,156,72002,208,95917,-52,-23915,252,115958,0,0,252,115958
2015/7/6,小型臺指期貨,外資及陸資,23968,11064909,24769,11434547,-801,-369639,204,93345,8944,4038076,-8740,-3944731
2015/7/7,小型臺指期貨,自營商,9546,4405527,10014,4622923,-468,-217396,7057,3236109,8445,3884690,-1388,-648581
2015/7/7,小型臺指期貨,投信,140,64824,128,59129,12,5695,252,116449,0,0,252,116449
2015/7/7,小型臺指期貨,外資及陸資,24240,11216138,23825,11022760,415,193377,166,76257,8835,4006649,-8669,-3930392
2015/7/8,小型臺指期貨,自營商,14311,6432774,20418,9198453,-6107,-2765679,3374,1488693,9843,4374263,-6469,-2885570
2015/7/8,小型臺指期貨,投信,77,34573,248,112379,-171,-77806,257,114943,0,0,257,114943
2015/7/8,小型臺指期貨,外資及陸資,40657,18362362,43966,19865819,-3309,-1503457,103,45872,10002,4399386,-9899,-4353514
2015/7/9,小型臺指期貨,自營商,15717,6915580,15871,6986180,-154,-70600,3855,1686956,10338,4558776,-6483,-2871820
2015/7/9,小型臺指期貨,投信,176,77887,232,102424,-56,-24537,257,114044,0,0,257,114044
2015/7/9,小型臺指期貨,外資及陸資,43254,19091438,42522,18773167,732,318272,91,40065,9470,4127782,-9379,-4087717
2015/7/13,小型臺指期貨,自營商,13731,6121418,9593,4269612,4138,1851806,5088,2262038,7481,3334922,-2393,-1072884
2015/7/13,小型臺指期貨,投信,241,108022,104,46534,137,61487,262,117808,0,0,262,117808
2015/7/13,小型臺指期貨,外資及陸資,28860,12907352,28270,12646076,590,261277,122,54428,9103,4016849,-8981,-3962421
2015/7/14,小型臺指期貨,自營商,14077,6331171,12282,5513776,1795,817394,5676,2524009,6742,2995047,-1066,-471038
2015/7/14,小型臺指期貨,投信,209,93738,178,80254,31,13484,269,120216,0,0,269,120216
2015/7/14,小型臺指期貨,外資及陸資,20051,9041946,20001,9017827,50,24119,328,146533,9259,4082683,-8931,-3936150
2015/7/15,小型臺指期貨,自營商,13215,5930283,10418,4666147,2797,1264136,3940,1745549,4893,2172583,-953,-427034
2015/7/15,小型臺指期貨,投信,97,43765,268,119709,-171,-75944,94,41783,180,80010,-86,-38227
2015/7/15,小型臺指期貨,外資及陸資,21862,9771141,22143,9893804,-281,-122663,168,74814,8415,3721746,-8247,-3646932
2015/7/16,小型臺指期貨,自營商,9865,4404616,10609,4733836,-744,-329220,5065,2252681,6610,2944273,-1545,-691592
2015/7/16,小型臺指期貨,投信,188,84007,248,110599,-60,-26592,94,41905,180,80244,-86,-38339
2015/7/16,小型臺指期貨,外資及陸資,25897,11564411,25829,11534254,68,30157,199,88873,8422,3738014,-8223,-3649141
2015/7/17,小型臺指期貨,自營商,9440,4203649,8868,3946386,572,257263,6043,2688441,6580,2929755,-537,-241314
2015/7/17,小型臺指期貨,投信,204,90887,180,80093,24,10794,94,41891,180,80217,-86,-38326
2015/7/17,小型臺指期貨,外資及陸資,24444,10882059,24220,10783543,224,98517,273,121816,8452,3750607,-8179,-3628791
2015/7/20,小型臺指期貨,自營商,12540,5582730,14137,6300612,-1597,-717882,7207,3185120,9341,4130787,-2134,-945667
2015/7/20,小型臺指期貨,投信,169,75111,236,105262,-67,-30151,95,42042,180,79659,-85,-37617
2015/7/20,小型臺指期貨,外資及陸資,28638,12770453,29111,12978920,-473,-208467,196,86776,8620,3799715,-8424,-3712939
2015/7/21,小型臺指期貨,自營商,10044,4458083,7720,3424314,2324,1033769,8675,3871402,8493,3790797,182,80605
2015/7/21,小型臺指期貨,投信,208,92340,148,65641,60,26699,95,42451,180,80433,-85,-37982
2015/7/21,小型臺指期貨,外資及陸資,24645,10932911,24061,10675053,584,257857,254,113458,8442,3757430,-8188,-3643972
2015/7/22,小型臺指期貨,自營商,7721,3408962,11473,5065793,-3752,-1656831,3337,1467301,8163,3593332,-4826,-2126031
2015/7/22,小型臺指期貨,投信,90,39728,180,79411,-90,-39683,101,44496,180,79299,-79,-34803
2015/7/22,小型臺指期貨,外資及陸資,25887,11436219,27806,12286155,-1919,-849936,154,67749,9064,3979346,-8910,-3911597
2015/7/23,小型臺指期貨,自營商,11036,4825493,12710,5553279,-1674,-727787,3987,1743134,10463,4574523,-6476,-2831389
2015/7/23,小型臺指期貨,投信,173,75681,218,95234,-45,-19553,88,38513,180,78777,-92,-40264
2015/7/23,小型臺指期貨,外資及陸資,37547,16423122,38708,16932023,-1161,-508900,119,51976,9150,3991174,-9031,-3939198
2015/7/24,小型臺指期貨,自營商,5375,2335289,6276,2724946,-901,-389657,4335,1881074,11380,4937886,-7045,-3056812
2015/7/24,小型臺指期貨,投信,132,57402,184,79920,-52,-22518,88,38218,180,78174,-92,-39956
2015/7/24,小型臺指期貨,外資及陸資,26202,11389453,26762,11634132,-560,-244679,124,53750,9363,4053766,-9239,-4000016
2015/7/27,小型臺指期貨,自營商,10770,4622090,12316,5286371,-1546,-664282,4518,1924306,13633,5806938,-9115,-3882632
2015/7/27,小型臺指期貨,投信,156,67049,208,89532,-52,-22483,96,40920,180,76725,-84,-35805
2015/7/27,小型臺指期貨,外資及陸資,34929,15003642,35205,15122836,-276,-119193,71,30181,9250,3930948,-9179,-3900767
2015/7/28,小型臺指期貨,自營商,7528,3210705,9565,4080653,-2037,-869948,4446,1896399,15514,6619688,-11068,-4723289
2015/7/28,小型臺指期貨,投信,184,78571,236,100682,-52,-22111,96,40987,180,76851,-84,-35864
