日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2015/5/13,臺股期貨,外資及陸資,31122,60622098,29601,57653939,1521,2968159,58301,113512994,72753,141581251,-14452,-28068257
2015/5/14,臺股期貨,自營商,26472,51079048,24849,47966616,1623,3112432,10417,19930945,8880,16989796,1537,2941149
2015/5/14,臺股期貨,投信,115,221361,455,876744,-340,-655383,1459,2802842,4796,9213275,-3337,-6410433
2015/5/14,臺股期貨,外資及陸資,36560,70535070,44676,86225940,-8116,-15690870,52377,100559164,75207,144325665,-22830,-43766501
2015/5/15,臺股期貨,自營商,20374,39075220,21076,40423578,-702,-1348358,10692,20386409,9615,18338581,1077,2047828
2015/5/15,臺股期貨,投信,791,1514661,840,1607868,-49,-93207,1443,2762477,4829,9246360,-3386,-6483883
2015/5/15,臺股期貨,外資及陸資,48437,92887577,43811,84015804,4626,8871774,49493,94694121,67488,129065795,-17995,-34371674
2015/5/18,臺股期貨,自營商,13848,26546105,13193,25284244,655,1261861,10756,20562232,8964,17135913,1792,3426319
2015/5/18,臺股期貨,投信,2035,3901650,1702,3262371,333,639279,1522,2922024,4575,8783292,-3053,-5861268
2015/5/18,臺股期貨,外資及陸資,61140,117172821,61040,116982475,100,190346,49547,95053488,67237,128913901,-17690,-33860413
2015/5/19,臺股期貨,自營商,29037,56207202,28870,55909839,167,297363,9908,19134851,8120,15686202,1788,3448649
2015/5/19,臺股期貨,投信,2163,4196843,1605,3114232,558,1082611,1722,3341713,4217,8183510,-2495,-4841797
2015/5/19,臺股期貨,外資及陸資,75983,147140004,71523,138509161,4460,8630843,57543,111598440,70393,136436851,-12850,-24838411
2015/5/20,臺股期貨,自營商,26374,51094106,23669,45850734,2705,5243372,8230,15836410,2765,5277988,5465,10558422
2015/5/20,臺股期貨,投信,1042,2018891,734,1421708,308,597183,1657,3206626,3874,7496965,-2217,-4290339
2015/5/20,臺股期貨,外資及陸資,36058,69842445,44675,86516187,-8617,-16673742,34919,67508665,50854,98249434,-15935,-30740769
2015/5/21,臺股期貨,自營商,18799,35884182,18303,34941475,496,942707,9282,17609307,3372,6347517,5910,11261790
2015/5/21,臺股期貨,投信,147,280952,394,752514,-247,-471562,1622,3095100,4086,7796905,-2464,-4701805
2015/5/21,臺股期貨,外資及陸資,40760,77845110,42397,80952620,-1637,-3107509,33590,64027520,51634,98334752,-18044,-34307232
2015/5/22,臺股期貨,自營商,16950,32550737,16757,32200073,193,350665,9279,17743982,3179,6030046,6100,11713936
2015/5/22,臺股期貨,投信,421,808831,284,546695,137,262135,1753,3375226,4080,7855632,-2327,-4480406
2015/5/22,臺股期貨,外資及陸資,30150,57963566,25402,48832638,4748,9130928,34832,66989120,47620,91476444,-12788,-24487324
2015/5/25,臺股期貨,自營商,14829,28457608,14679,28166327,150,291281,9139,17481535,2982,5654423,6157,11827112
2015/5/25,臺股期貨,投信,119,228648,136,260956,-17,-32308,1733,3338105,4077,7853117,-2344,-4515012
2015/5/25,臺股期貨,外資及陸資,19100,36677815,16015,30757652,3085,5920163,35496,68292439,45278,87005341,-9782,-18712902
2015/5/26,臺股期貨,自營商,16321,31554494,16618,32128889,-297,-574396,9004,17269478,3137,5971699,5867,11297779
2015/5/26,臺股期貨,投信,437,845046,93,179543,344,665503,1803,3483035,3803,7346635,-2000,-3863600
2015/5/26,臺股期貨,外資及陸資,29303,56685024,29339,56741338,-36,-56315,34447,66460453,44373,85499935,-9926,-19039482
2015/5/27,臺股期貨,自營商,14121,27278612,17323,33465210,-3202,-6186598,6443,12319149,3792,7236511,2651,5082638
2015/5/27,臺股期貨,投信,144,278820,250,482970,-106,-204149,1791,3460928,3896,7528630,-2105,-4067702
2015/5/27,臺股期貨,外資及陸資,31175,60246866,25997,50246987,5178,9999879,37606,72579495,42193,81306661,-4587,-8727166
2015/5/28,臺股期貨,自營商,14984,29103002,14221,27626180,763,1476822,7001,13482984,3544,6810712,3457,6672272
2015/5/28,臺股期貨,投信,303,589469,62,120450,241,469019,1809,3519952,3673,7146923,-1864,-3626971
2015/5/28,臺股期貨,外資及陸資,31042,60315790,27689,53788795,3353,6526996,40653,79005593,41769,81034505,-1116,-2028912
2015/5/29,臺股期貨,自營商,13626,26466655,13126,25498819,500,967836,7218,13863746,3254,6232207,3964,7631539
2015/5/29,臺股期貨,投信,71,138001,156,302906,-85,-164905,1780,3454268,3729,7236497,-1949,-3782229
2015/5/29,臺股期貨,外資及陸資,26150,50819667,30902,60029745,-4752,-9210078,39757,77048796,45602,88230366,-5845,-11181570
2015/6/1,臺股期貨,自營商,19361,37310780,19078,36776260,283,534520,8351,15935807,4003,7620558,4348,8315249
2015/6/1,臺股期貨,投信,75,144794,454,874879,-379,-730085,1595,3071970,3923,7555698,-2328,-4483728
2015/6/1,臺股期貨,外資及陸資,32456,62606820,37333,71976152,-4877,-9369332,37995,73055607,48902,93897275,-10907,-20841668
2015/6/2,臺股期貨,自營商,14285,27418462,16265,31236303,-1980,-3817841,6803,12915779,4409,8389309,2394,4526470
2015/6/2,臺股期貨,投信,87,167305,286,549582,-199,-382277,1577,3029732,4104,7884605,-2527,-4854873
2015/6/2,臺股期貨,外資及陸資,31520,60554580,27384,52589210,4136,7965370,38886,74573546,45681,87455037,-6795,-12881491
2015/6/3,臺股期貨,自營商,19177,36720356,17283,33087738,1894,3632618,8178,15466470,3841,7254478,4337,8211992
2015/6/3,臺股期貨,投信,174,331500,232,443650,-58,-112150,1568,2993245,4153,7930569,-2585,-4937324
2015/6/3,臺股期貨,外資及陸資,29425,56384291,39985,76627659,-10560,-20243367,29635,56455504,47476,90329968,-17841,-33874464
2015/6/4,臺股期貨,自營商,31690,59580466,31853,59989017,-163,-408551,9532,17601643,5497,10149821,4035,7451822
2015/6/4,臺股期貨,投信,136,257275,921,1731259,-785,-1473984,1402,2611085,4772,8887373,-3370,-6276288
2015/6/4,臺股期貨,外資及陸資,54210,102056522,61385,115770258,-7175,-13713736,26099,48455347,51269,95128229,-25170,-46672882
2015/6/5,臺股期貨,自營商,19248,35774409,20851,38753976,-1603,-2979567,8469,15612616,6020,11121000,2449,4491616
2015/6/5,臺股期貨,投信,322,599158,186,345799,136,253358,1436,2673545,4670,8694606,-3234,-6021061
2015/6/5,臺股期貨,外資及陸資,38794,72144548,34391,63957633,4403,8186915,29957,55613075,50706,94036583,-20749,-38423508
2015/6/8,臺股期貨,自營商,22972,42779822,21939,40861651,1033,1918171,8687,16083372,5132,9521638,3555,6561734
2015/6/8,臺股期貨,投信,437,815746,269,500625,168,315120,1472,2752051,4538,8484245,-3066,-5732194
2015/6/8,臺股期貨,外資及陸資,37694,70188150,38029,70822996,-335,-634846,30368,56591165,51707,96274731,-21339,-39683566
2015/6/9,臺股期貨,自營商,26184,48460165,29257,54143080,-3073,-5682915,7606,13891411,7150,13119909,456,771502
2015/6/9,臺股期貨,投信,118,218357,363,670677,-245,-452320,1444,2667068,4755,8782183,-3311,-6115115
2015/6/9,臺股期貨,外資及陸資,40138,74384322,36902,68377974,3236,6006348,33877,62377615,52023,95662298,-18146,-33284683
2015/6/10,臺股期貨,自營商,21333,39597711,21257,39474880,76,122832,7928,14547201,7392,13645557,536,901644
2015/6/10,臺股期貨,投信,637,1184340,192,355900,445,828440,1502,2788914,4368,8109577,-2866,-5320663
2015/6/10,臺股期貨,外資及陸資,32741,60794373,32765,60842516,-24,-48143,35512,65716444,53993,99799741,-18481,-34083297
2015/6/11,臺股期貨,自營商,20795,38538553,19942,36966107,853,1572445,7856,14410658,6098,11255373,1758,3155285
2015/6/11,臺股期貨,投信,162,301188,246,456269,-84,-155082,1440,2674080,4390,8151298,-2950,-5477218
2015/6/11,臺股期貨,外資及陸資,31316,58082129,32015,59368279,-699,-1286150,35361,65446523,54499,100726109,-19138,-35279586
2015/6/12,臺股期貨,自營商,18273,33804418,18449,34161009,-176,-356592,9265,16951843,7672,14146667,1593,2805176
2015/6/12,臺股期貨,投信,1279,2364825,1294,2371847,-15,-7022,1467,2713846,4432,8188307,-2965,-5474461
2015/6/12,臺股期貨,外資及陸資,36672,67876623,34128,63160903,2544,4715720,39084,72173146,55662,102636263,-16578,-30463117
2015/6/15,臺股期貨,自營商,22063,40830947,22952,42356477,-889,-1525530,7526,13751796,7116,13033385,410,718411
2015/6/15,臺股期貨,投信,3411,6293601,3433,6277374,-22,16227,1483,2717822,4470,8160746,-2987,-5442924
2015/6/15,臺股期貨,外資及陸資,58351,107558658,56667,104594995,1684,2963662,37309,68414564,52112,95662576,-14803,-27248012
2015/6/16,臺股期貨,自營商,25177,46077969,25617,47023419,-440,-945450,7563,13653829,7434,13600603,129,53226
2015/6/16,臺股期貨,投信,753,1364082,985,1801369,-232,-437287,1561,2826071,4780,8668198,-3219,-5842127
2015/6/16,臺股期貨,外資及陸資,58182,106567008,57635,105392874,547,1174134,38197,69572979,52499,95615349,-14302,-26042370
2015/6/17,臺股期貨,自營商,23440,42837682,23853,43591911,-413,-754230,6809,12258177,2748,4945560,4061,7312617
2015/6/17,臺股期貨,投信,978,1787188,810,1472546,168,314642,1619,2927833,4472,8097898,-2853,-5170065
2015/6/17,臺股期貨,外資及陸資,31591,57333711,31748,57509566,-157,-175855,20564,37124976,30938,55829990,-10374,-18705014
